discussion_answer_id,ualberta_discussions_user_id,course_id,discussion_answer_content,discussion_question_id,discussion_answer_parent_discussion_answer_id,discussion_answer_created_ts,discussion_answer_updated_ts
"KcRjrA_BEea0FgrDsuIyMQ",569966f6478f85bd281aacc028b683df5be7ff38,"99SZyjVxEeW6RApRXdjJPw","<co-content><text>Agree, they did a good job!</text><text/></co-content>","Cg52jA5uEeawWRJ2-Hqumw","",2016-05-01 17:21:38.522,2016-05-01 17:21:38.522
"bQzZW_DfEeWkUAr_DMJ5Lw",f57a3382e7c445f9ef13540fa33bcb3c2263a2a2,"99SZyjVxEeW6RApRXdjJPw","<co-content><text>Hi Ayodeji, I'm good and hope you are too? Nice to have you as a course mate on this project. kindly send your email address to ebbydare@yahoo.com. Thanks</text></co-content>","HffRi_DCEeWPKQpBKpg03Q","xW1SN_DeEeWPKQpBKpg03Q",2016-03-23 10:10:10.26,2016-03-23 10:10:10.26
"v7eJ5fYZEeWwfgrZnMB2OQ",36e555bf61269f6cbc3434e02b5b28085c45a78b,"99SZyjVxEeW6RApRXdjJPw","<co-content><text>I just found your answer Morgan. </text><text>For anyone who is also lost... </text><text>Hi everyone,</text><text>For the week 2 Technical Requirements Review assignment, you are to submit your Requirements Document like in Week 1. Then the real work for this assignment is the peer review. When you go to the peer review section, you will receive a peer's Requirements Document (similar to Week 1) but this time you are going to go into their Google doc and make comments and suggestions on their user stories. You are going to help them refine their Requirements Document and make sure that their document meets the user story criteria from module 4 of the Client Needs and Software Requirements course.</text></co-content>","SOjO8vUlEeWPyw7tSN6RVw","COxzvvXzEeWdIhI-GrEcAw",2016-03-30 01:50:15.576,2016-03-30 01:50:15.576
"N65jBPX7EeWhbg4BpFa_-Q",36e555bf61269f6cbc3434e02b5b28085c45a78b,"99SZyjVxEeW6RApRXdjJPw","<co-content><text>Hi Morgan, </text><text>I don't get how this week assignment is different from last weeks. Maybe i'm missing something... </text><text>Last week I wrote my Requirements doc and reviewed 2 other peoples, leaving small notes.  </text><text>Is this week the same document submitted, but we just leave more detailed feedback to the 2 people we review? Or are we writing something new? </text><text>Sorry, but this isn't very clear... </text><text>Thank you</text><text>Carmen</text></co-content>","SOjO8vUlEeWPyw7tSN6RVw","COxzvvXzEeWdIhI-GrEcAw",2016-03-29 22:11:42.444,2016-03-29 22:11:42.444
"y7Fw2P2mEeWbYhLNZ2H1QQ",36e555bf61269f6cbc3434e02b5b28085c45a78b,"99SZyjVxEeW6RApRXdjJPw","<co-content><text>It does yes. it just seems very 'open' to interpretation. </text><text>I'll give it my best! </text></co-content>","DM8ILf2fEeWW0grgb0UTkQ","7qMDkv2lEeWZ8AoH1Zkwbw",2016-04-08 16:27:32.847,2016-04-08 16:27:32.847
"zir9zPSQEeWmrgpxaSyEow",9c545140ddfd04517d924377ab3c40a54cc7c9f6,"99SZyjVxEeW6RApRXdjJPw","<co-content><text>I think you have to submit your assignment before you receive access to a peer submission.</text><text/></co-content>","8TbOcPQrEeWi3hK4t5iOYw","",2016-03-28 02:57:27.606,2016-03-28 02:57:27.606
"t5BWXgHvEeamGg7Dz_SaMQ",9c545140ddfd04517d924377ab3c40a54cc7c9f6,"99SZyjVxEeW6RApRXdjJPw","<co-content><text>This might be helpful, if you're still looking.  <a href=\"https://www.youtube.com/watch?v=gjU5vA8m1Jo\">https://www.youtube.com/watch?v=gjU5vA8m1Jo</a></text></co-content>","KNOzIwCyEeapRBJSZ0Y3Bw","",2016-04-14 03:19:36.988,2016-04-14 03:19:36.988
"Pdr1GwqlEeaqFhJWgHcbtw",9c545140ddfd04517d924377ab3c40a54cc7c9f6,"99SZyjVxEeW6RApRXdjJPw","<co-content><text>I found this <a href=\"https://www.mountaingoatsoftware.com/agile/scrum/release-burndown/alternative\">post</a> to be helpful, as well as the linked Excel template.  To get the prediction line, I added a third row of data to the chart, selected that data in the chart and right clicked to get the Change Series Chart Type to Combo.  I then changed just the last data series to Line.</text><text/></co-content>","hcCu6gZLEeaGYRLQcnuUpQ","ddylCweTEea9ygrU1TZnpw",2016-04-25 05:19:10.502,2016-04-25 05:19:10.502
"OouOM_T0EeWqQwq9khhH1Q",2af8e71a1e975eccd268f9b956409b43fff1f541,"99SZyjVxEeW6RApRXdjJPw","<co-content><text>Hi James,</text><text>In the first week's tutorial about google docs it is mentioned at the very end that you should  take screenshots of your comments when you review your peers.. so that.. this helps in the future.. for something..</text><text>I don't fully understand this yet, and I forgot to take the screenshots too.. So maybe someone could shed more light on this.</text><text>Hope it helps!</text><text>Cheers,</text><text>Cristian</text><text/><text>\"</text><text>After you have completed your peer review on one of your peer’s assignments, take some\\nscreenshots of your work. You are going to need these to pass the Requirements Technical\\nReview assignment in Week 2. </text><text>Please do not Resolve, Accept, or Delete suggestions made by your peers on your\\nassignment until after the completion of the capstone.</text><text> \"</text><text/></co-content>","WZlqpvRHEeWhbg4BpFa_-Q","",2016-03-28 14:49:09.609,2016-03-28 14:49:09.609
"z-96MA9_EeaVPQ6kCMKyuQ",2af8e71a1e975eccd268f9b956409b43fff1f541,"99SZyjVxEeW6RApRXdjJPw","<co-content><text>I just reviewed yours. can you please review mine too?</text><text>5.10</text><text><a href=\"https://www.coursera.org/learn/software-product-management-capstone/peer/fFMh9/5-10-assignment-release-burndown-graded/review/PZ5esw8uEea63hJ3Ni_BAw\">https://www.coursera.org/learn/software-product-management-capstone/peer/fFMh9/5-10-assignment-release-burndown-graded/review/PZ5esw8uEea63hJ3Ni_BAw</a></text><text>5.13</text><text><a href=\"https://www.coursera.org/learn/software-product-management-capstone/peer/YLJk4/5-13-assignment-iteration-plan-for-sprint-3-graded/review/u1tBeg8yEea84w5Krj7Aqw\">https://www.coursera.org/learn/software-product-management-capstone/peer/YLJk4/5-13-assignment-iteration-plan-for-sprint-3-graded/review/u1tBeg8yEea84w5Krj7Aqw</a></text><text>Thanks a lot!</text></co-content>","A_ES7gs9Eea84w5Krj7Aqw","DvltMAt3Eeaqig5uXwUeGw",2016-05-01 09:33:50.522,2016-05-01 09:33:50.522
