course_branch_id,course_item_id,course_lesson_id,course_branch_item_order,course_item_type_id,course_branch_item_name,course_branch_item_optional
"99SZyjVxEeW6RApRXdjJPw","sEgA8","6dUH6",10,3,"3.11 Email: Task Breakdown",f
"99SZyjVxEeW6RApRXdjJPw","YRR22","hiUp9",1,12,"5.2 Assignment: Risk Plan Update (Graded)",f
"99SZyjVxEeW6RApRXdjJPw","jrnL9","1DmNT",3,3,"1.4 Decision Tree: Expert Advisor Meeting",f
"99SZyjVxEeW6RApRXdjJPw","Ud9H3","g9S3n",2,1,"6.3 Video Simulation: Standup Meeting (Friday)",f
"99SZyjVxEeW6RApRXdjJPw","6rdPD","g9S3n",8,12,"6.8 Assignment: Personal Project Retrospective (Graded)",f
"99SZyjVxEeW6RApRXdjJPw","q0yAj","mFBaV",4,12,"4.5 Assignment: Iteration Burndown Sprint 1 (Graded)",f
"99SZyjVxEeW6RApRXdjJPw","rxVJw","6dUH6",4,3,"3.5 Email: Risk Assessment",f
"99SZyjVxEeW6RApRXdjJPw","bAOFD","g9S3n",9,1,"6.9 Congratulations on completing the Capstone",f
"99SZyjVxEeW6RApRXdjJPw","Orpha","6dUH6",7,12,"3.8 Assignment: Week 3 Release Plan (Graded)",f
"99SZyjVxEeW6RApRXdjJPw","5CUlS","hiUp9",10,1,"5.11 Video Simulation: Sprint Retrospective (Friday)",f
"99SZyjVxEeW6RApRXdjJPw","vILu9","g9S3n",0,1,"6.1 Video Simulation: Standup Meeting (Wednesday)",f
"99SZyjVxEeW6RApRXdjJPw","SaDbD","g9S3n",3,1,"6.4 Video Simulation: Client Demo (Friday)",f
"99SZyjVxEeW6RApRXdjJPw","LdL1I","g9S3n",7,3,"6.7 Resource: Project Retrospective - Meeting Minutes",f
"99SZyjVxEeW6RApRXdjJPw","lp9qN","mFBaV",7,3,"4.8 Exercise: Week 4 Release Planning",f
"99SZyjVxEeW6RApRXdjJPw","RQ3Zo","Rk10Z",6,3,"0.6 Resource: Software Product Manager Job Posting",f
"99SZyjVxEeW6RApRXdjJPw","11NAh","Rk10Z",0,1,"Capstone Preview",f
"99SZyjVxEeW6RApRXdjJPw","BdOU7","d2ajb",3,3,"2.4 Email: Removing Android",f
"99SZyjVxEeW6RApRXdjJPw","7UTtN","1DmNT",8,12,"1.9 Assignment: Requirements Document (Graded)",f
"99SZyjVxEeW6RApRXdjJPw","qfUD4","1DmNT",2,3,"1.3 Decision Tree: Meeting the Client",f
"99SZyjVxEeW6RApRXdjJPw","fFMh9","hiUp9",9,12,"5.10 Assignment: Release Burndown (Graded)",f
"99SZyjVxEeW6RApRXdjJPw","24XUN","1DmNT",6,1,"1.7 Video Simulation: Development Team Meeting (Monday)",f
"99SZyjVxEeW6RApRXdjJPw","NiskR","6dUH6",3,3,"3.4 Decision Tree: Prioritization Meeting",f
"99SZyjVxEeW6RApRXdjJPw","xJHiY","mFBaV",5,1,"4.6 Video Simulation: Sprint Retrospective (Friday)",f
"99SZyjVxEeW6RApRXdjJPw","sW8gK","6dUH6",9,1,"3.10 Video Simulation: Task Breakdown Meeting",f
"99SZyjVxEeW6RApRXdjJPw","VsPwR","mFBaV",3,1,"4.4 Video Simulation: Client Demo & Backlog Refinements (Friday)",f
"99SZyjVxEeW6RApRXdjJPw","Utvpp","g9S3n",4,12,"6.5 Assignment: Release Burndown (Graded)",f
"99SZyjVxEeW6RApRXdjJPw","mYyLI","1DmNT",5,1,"1.6  Video Simulation: Development Team Introduction (Monday)",f
"99SZyjVxEeW6RApRXdjJPw","Y9s8H","6dUH6",8,3,"3.9 Resource: Week 3 Project Release Plan (Proposed Solution)",f
"99SZyjVxEeW6RApRXdjJPw","DPn0B","hiUp9",2,1,"5.3 Video Simulation: Standup Meeting (Wednesday)",f
"99SZyjVxEeW6RApRXdjJPw","egfcs","mFBaV",1,1,"4.2 Simulation: Office Chat Conversation (Thursday)",f
"99SZyjVxEeW6RApRXdjJPw","ynlyb","6dUH6",6,3,"3.7 Exercise: Week 3 Release Planning",f
"99SZyjVxEeW6RApRXdjJPw","0ftwF","g9S3n",5,3,"Supplemental Reading: Release Burndown Solution",f
"99SZyjVxEeW6RApRXdjJPw","a3J40","mFBaV",8,12,"4.9 Assignment: Week 4 Release Plan (Graded)",f
"99SZyjVxEeW6RApRXdjJPw","YeRbq","hiUp9",6,3,"5.7 Exercise: Week 5 Release Planning",f
"99SZyjVxEeW6RApRXdjJPw","r9zkF","d2ajb",1,1,"2.2 Video Simulation: Risk Discussion (Wednesday)",f
"99SZyjVxEeW6RApRXdjJPw","ch4H9","d2ajb",0,12,"2.1 Assignment: Requirements Technical Review (Graded)",f
"99SZyjVxEeW6RApRXdjJPw","PvXZU","hiUp9",7,12,"5.8 Assignment: Week 5 Release Plan (Graded)",f
