assessment_pattern_id,assessment_pattern_flag_type_id
"259ba381bca83fa96822bc500b02bbc4",2
"3e4ff1ea66d2a46714052c484c7591a0",2
"3eaaf2c20baf1e1d91a3025c65b92cda",32
"f4b73cffe000e6f184ef2fb404e097cb",2
"f9785438e154ba5b6ff4164b17930892",2
"5390d519e58194710ff45d0c92976ef9",2
"abcdcb340ddf8c8c163053fe24e7ae0c",2
"4ac4eb247d1feeedeb505d095db0180e",2
"10645fc984cd6bbf7c5c3c33c08a4778",2
"a387de4cd83c85e8d8ca11c817d0264f",2
"c562a0800828d0725eb525d867f326ac",2
"ceec0e82c8a8a0e4382ffc8d92df4bb0",2
"d3ad304434329063e9b0d84208964b26",2
"0b3fa54e1ed24f5e279f85eaf738801a",2
"b96b5551b7d35122ae7d1df585cb6ab2",2
"feef8619e88e1373f51d626f25ede31b",2
"12769224776f8e3b2d2ac01d901e7da2",2
"a425b37ab0f900d8a08649ec07244eaf",2
"a5e569b5a05556aa396624db7e261b6a",2
"0571e97b78fc36b503c1daaf9359c1a1",2
"170cc07091041c9f245dd8cf98ecc6f1",2
"1edb69d7b2f741bebd80db51dbdf2539",2
"32774ce30ecaf25521bf05daa2427916",2
"4782313f992f717c9cf3b42eb464de29",2
"f3f20eac811467b0a42fa2f748c3bfad",2
"3964bfcb80d9282eb50c2102b6423ccc",2
"4f4bd23ad86d0c05a675f8cd28165c72",2
"59731b065fc6ada45504fe06c273bba9",2
"99833348016ec074b3f556b19f77fb94",2
"9c4271f74bab687fdaea94141d10da38",2
"be6dc825f5b6cb49801da211da9b7aa1",2
"e90a40460004c99a4fbabef3619b617a",2
"0b9894f16573d259ae34c934b5f89f2a",2
"5de285d36e03fb78ada8440d706b360e",2
"f22cdfa88db01576ac0086f6036dc052",2
"4ca380a292e9d9f3f5cbd59c298ad73a",2
"813157372cc9208019f48142b5a7be5c",2
"8ade6134c0298102e99b277f12806a04",2
"5998dfd536ab94f3e23a89abfd289a87",2
"60917ae9f4247b7512844f2332bc3edc",2
"7f78c0e412fd14be0c1daa77613f14c1",2
"af31dce9b9f9b3cd0d5a94d3f2baaff6",2
"e088837f841326c4565fe4dcdd7b6ac6",2
"6874f70f7961c0fd9529fa9ab0d01d9a",2
"94912301171fdcc932704a735ccbec7a",2
"1f07be628786c9e7daae2124a029c39e",2
"f507255104241858c1115d30828b88b6",2
"ae411362d4f6df8df612742f3f21a9fb",2
"0146d916bfe0982b50193c4d920a75e2",2
"eb67fbbe9df89f7e541b756043e905ce",2
"073e988a847e5cc66caed619e26053aa",2
"7bb67e2c69ee4a8f5314762636d443dc",2
"9a9ce54f06fbeb38d1f5de613230991a",2
"af5d1fe783ba149338b64ed963cd607a",2
"0899558510d73343500e8d6831c1d143",2
"0b3cb8c50241f82ff4f68f56a21c2ddc",2
"75b6f91dcf52d3f698ad18001079b65b",2
"9ac460e1d1225995610c398d195ce769",2
"3213cf7a1fe00c91eed202e250d6aa89",2
"4f1864ea0a4e246d01bc4279296a5c90",2
"b8a237838c928a83b884e189f97f47b3",2
"c0f3bdb9351c5f9e8681511110e5de0f",2
"39565a3c1dbeb0a85d1479352e3bfdd0",2
"9870aaf02be76295a845db81355414a1",2
"C06t-UsrEeSatSIACyQUhQ",32
"ad9f101af3807b0b7f7ad67df4812405",2
"e1f0148d29c7cd4ffe262711624e409b",2
"04f8b9884d9b11e227fe397e54262e5e",2
"0fb0bdafeef014b6884f5fa7ec5e5fa0",2
"4f4b3e2883889f1d1cb1692480387773",2
"7eb51a77a9d58984c930c49e21e8bf81",2
"8d71f804a79bf13fa3a08831f8744a48",2
"f27f965481f915112cbda7a836c585c8",2
"0b0ceafd0a992821f4ac15921eddc03a",2
"201c5d2682ba8e853c81d5b066778a8f",2
"510220ef169e195f2acd340c284c0625",2
"7c19bcc7cebb4765cd2313d11745ecc3",32
"b4efdcb5f095252ea56aa13057cd625b",2
"0158b7a9d2c71abbc617afa8d2cb2a83",2
"4f591975b57b5bab331f59ad265383a0",2
"8ade5efa64761e3ab5eb4ad363991b8a",2
"49cfc8ae8f63cc2bc4791016d42f55e1",2
"6a7241640e27c39215b63692bc4a5602",2
"daa08fb18f328b65c28849a9838e75c2",2
"04483fded674f3a0db1cf25ec37e07fb",2
"13e93e2c55c805f1cc67d06c7eb77786",2
"24d9123ba7c4c1688f2a00fca13a7fa0",2
"28787db7a768e71ef34fc9c27565329d",2
"777217763781572c55cf2341ace2fc13",2
"1d989b4d65be90a5594c181d066dd515",2
"55ce4b707aa36a4c2db74ca2b5067def",2
"8026d8bed5e2b8bd6238fe5b7cb2ceb8",2
"cde4c00e2d4a2b0d45aedef925fff2c2",2
"dd416adb0bcce4bbec187e0dcc3ad491",2
"68e6d6570eb67e232be80d54def31eec",2
"bd66e7b90c2880e4d77f2ec6a13eb493",2
